date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2021-03-05,85,88,91,88,100,65,62,99,26490,27780,1290,5580,17310,3600,333,95,30,13620,2021-03-04T23:14:29.000+00:00,2021-03-05T06:57:29.000+00:00,71.3,66,28,0.14,0.28,18.125,78,63,100,43,100,85,254,2479,4710,3900,38820,29760,9840,840,420,6720,1.3125,0,86,84,86,89,75,93,85,95,85
2021-03-06,89,100,97,80,99,66,67,96,33090,35400,2310,7380,22440,3270,419,93,150,17430,2021-03-05T22:15:31.000+00:00,2021-03-06T08:05:31.000+00:00,75.07,69,18,0.25,0.37,17.25,82,80,100,43,100,96,684,2960,14193,12142,29640,34560,16740,5460,0,0,1.53125,0,88,94,94,84,80,83,69,93,93
2021-03-07,79,88,91,64,98,64,75,53,26520,28560,2040,5550,18330,2640,348,93,360,14370,2021-03-07T00:33:29.000+00:00,2021-03-07T08:29:29.000+00:00,72.73,67,19,0.07,0.35,17.125,82,81,95,43,100,97,754,3041,16542,13461,30060,33360,15900,7020,60,0,1.59375,1,82,69,92,78,69,99,78,92,82
2021-03-08,78,87,63,65,83,47,94,100,26340,30840,4500,3870,19770,2700,457,85,1020,15540,2021-03-07T22:27:31.000+00:00,2021-03-08T07:01:31.000+00:00,69.73,65,27,-0.21,0.19,17.25,73,45,78,43,96,96,148,2383,2979,2293,47160,30360,8820,60,0,0,1.25,2,83,67,90,74,55,98,100,95,81
2021-03-09,83,92,99,44,96,58,86,96,27510,30300,2790,8310,17370,1830,451,91,570,15060,2021-03-08T22:57:29.000+00:00,2021-03-09T07:22:29.000+00:00,73.7,70,17,-0.44,-0.04,16.375,75,50,78,43,96,95,150,2376,3160,2360,43080,33780,9480,60,0,0,1.25,2,83,80,91,86,64,90,69,91,93
2021-03-10,90,98,96,97,96,61,78,94,30600,33660,3060,6420,18510,5670,373,91,420,17010,2021-03-09T22:26:31.000+00:00,2021-03-10T07:47:31.000+00:00,73.91,67,28,0.19,0.05,17.625,73,58,95,43,71,84,248,2519,5043,4012,40500,31140,14280,480,0,0,1.3125,1,90,98,95,90,71,89,86,95,85
2021-03-11,81,91,87,67,96,50,72,99,27240,30000,2760,5310,19200,2730,492,91,270,15180,2021-03-10T22:48:23.000+00:00,2021-03-11T07:08:23.000+00:00,74.53,69,22,0.05,0.18,17.125,72,65,100,43,71,64,225,2484,4641,3654,38040,25020,12300,660,0,10380,1.3125,0,83,75,93,88,74,100,78,94,67
2021-03-12,68,73,69,3,100,61,99,59,23010,24300,1290,4230,18690,90,351,95,870,12000,2021-03-12T01:00:29.000+00:00,2021-03-12T07:45:29.000+00:00,69.58,67,19,-0.23,0.13,16.75,67,55,100,43,71,42,159,2387,3214,2510,40740,35160,10320,180,0,0,1.25,0,83,43,86,90,79,97,95,92,100
2021-03-13,84,95,94,85,88,55,62,100,28380,32520,4140,5730,19200,3450,443,87,30,15570,2021-03-12T22:24:29.000+00:00,2021-03-13T07:26:29.000+00:00,75.48,71,24,0.1,0.13,18.375,73,76,95,43,71,63,602,2858,13532,11071,32880,32520,16620,4380,0,0,1.5,1,84,83,87,92,86,97,53,93,100
2021-03-14,79,100,100,22,95,56,72,68,32880,36780,3900,9210,22710,960,444,89,300,18720,2021-03-13T22:51:29.000+00:00,2021-03-14T09:04:29.000+00:00,74.79,66,13,0.12,0.21,16.375,66,89,95,25,40,56,431,2680,8518,8060,27180,38160,20400,660,0,0,1.40625,1,81,70,94,77,76,94,100,87,37
2021-03-15,74,85,95,26,76,50,72,100,25890,31800,5910,6090,18690,1110,437,81,270,17250,2021-03-14T22:08:29.000+00:00,2021-03-15T06:58:29.000+00:00,77.76,70,14,0.27,0.33,17.25,61,56,100,25,40,52,248,2513,5092,4225,42120,30660,13260,360,0,0,1.3125,0,75,58,91,90,71,81,62,76,66
2021-03-16,72,65,90,49,95,60,99,73,21090,23520,2430,5520,13560,2010,291,90,870,11970,2021-03-16T00:34:29.000+00:00,2021-03-16T07:06:29.000+00:00,71.67,67,26,0.58,0.52,17.5,56,50,60,25,40,47,187,2433,3825,3101,44100,31680,10260,360,0,0,1.28125,3,71,53,81,86,75,56,88,85,68
2021-03-17,77,89,65,46,93,53,72,100,26760,29940,3180,4020,20850,1890,405,89,270,14880,2021-03-16T22:41:31.000+00:00,2021-03-17T07:00:31.000+00:00,71.5,66,16,0.14,0.48,17.25,67,64,95,25,71,63,434,2736,9270,7114,38100,30060,15480,2760,0,0,1.4375,1,80,65,80,87,79,93,96,76,76
2021-03-19,88,85,97,95,88,73,97,93,25770,29700,3930,7080,14310,4380,297,87,960,15930,2021-03-18T22:47:31.000+00:00,2021-03-19T07:02:31.000+00:00,71.83,65,19,0.06,0.32,17,63,55,100,25,71,43,217,2465,4361,3843,42420,32100,11640,240,0,0,1.28125,0,82,93,78,93,86,100,100,74,46
2021-03-20,81,80,84,88,90,67,70,100,24600,27900,3300,5160,15840,3600,321,88,240,13020,2021-03-19T22:52:30.000+00:00,2021-03-20T06:37:30.000+00:00,72.17,66,20,-0.09,0.12,17.75,72,90,100,25,71,68,665,2944,14050,12117,25500,35520,21300,4020,60,0,1.53125,0,80,75,74,87,89,100,95,77,66
2021-03-21,80,95,96,24,93,64,83,80,28230,31800,3570,6570,20670,990,405,89,510,16380,2021-03-20T23:05:31.000+00:00,2021-03-21T07:55:31.000+00:00,73.08,68,13,-0.03,0.04,16.125,68,65,100,25,71,66,310,2533,6186,5692,37740,33960,13620,1080,0,0,1.3125,0,78,73,78,80,74,100,86,63,99
2021-03-22,71,67,71,38,100,69,83,78,21570,22500,930,4380,15600,1590,322,96,540,11160,2021-03-22T00:36:30.000+00:00,2021-03-22T06:51:30.000+00:00,71.76,67,19,-0.03,0.02,16.875,62,54,78,25,71,57,241,2523,4782,4098,43260,29100,13740,300,0,0,1.3125,2,69,50,70,86,73,100,86,65,53
2021-03-23,85,86,97,92,81,59,91,100,26070,31080,5010,7140,15180,3750,381,84,1050,15810,2021-03-22T22:17:29.000+00:00,2021-03-23T06:55:29.000+00:00,67.2,59,25,0.57,0.28,16.625,64,59,100,25,71,47,158,2397,3115,2547,40020,31920,10140,120,0,4200,1.25,0,76,85,70,85,76,56,90,76,77
2021-03-24,89,95,96,74,97,63,97,100,28470,30900,2430,6240,19170,3060,456,92,960,15240,2021-03-23T22:26:56.000+00:00,2021-03-24T07:01:56.000+00:00,73.27,67,16,-0.2,0.23,17.625,61,51,60,25,71,62,421,2744,9404,7276,44520,26640,12120,3120,0,0,1.40625,3,83,95,75,92,82,98,85,70,91
2021-03-25,69,68,71,29,95,52,99,75,21900,24360,2460,4380,16290,1230,379,90,900,12600,2021-03-25T00:18:59.000+00:00,2021-03-25T07:04:59.000+00:00,72.38,67,23,0.34,0.29,17.125,64,54,95,25,71,52,206,2513,3890,3299,42780,31620,11820,180,0,0,1.28125,1,70,45,68,76,77,76,85,78,63
2021-03-26,89,96,97,97,98,55,75,100,29310,31500,2190,6840,16200,6270,417,93,360,15450,2021-03-25T22:25:03.000+00:00,2021-03-26T07:10:03.000+00:00,70.9,66,27,-0.44,0.06,17.625,61,46,95,25,71,45,250,2573,5068,4055,47280,25620,13020,480,0,0,1.34375,1,86,95,74,88,82,90,100,87,84
2021-03-27,74,80,95,64,99,66,70,33,24780,26280,1500,5850,16320,2610,287,94,240,12900,2021-03-27T01:37:58.000+00:00,2021-03-27T08:55:58.000+00:00,76.37,70,16,-0.22,-0.01,17.875,69,70,100,25,71,66,509,2806,11261,9326,34680,35220,12900,3600,0,0,1.4375,0,70,57,72,82,85,98,52,83,68
2021-03-28,76,84,96,32,100,77,97,25,25530,27060,1530,6720,17460,1350,350,94,810,13680,2021-03-28T01:41:02.000+01:00,2021-03-28T09:12:02.000+01:00,70.39,66,14,0.19,0.11,15.875,70,83,100,25,71,60,216,2419,4164,3731,28260,42360,11280,300,60,4140,1.21875,0,76,63,73,79,77,88,95,74,71
2021-03-29,81,88,95,38,96,55,99,93,26520,29100,2580,5790,19110,1620,368,91,870,14850,2021-03-28T23:04:00.000+01:00,2021-03-29T07:09:00.000+01:00,70.21,64,19,-0.6,None,16.75,61,51,78,25,71,51,182,2457,3640,2942,42900,32400,10860,240,0,0,1.25,2,82,75,74,98,81,85,100,76,77
2021-03-30,87,95,93,96,98,56,67,100,28320,30480,2160,5700,17790,4830,385,93,150,15030,2021-03-29T22:32:03.000+01:00,2021-03-30T07:00:03.000+01:00,75.58,70,28,-0.43,-0.16,17.875,58,51,60,25,71,42,199,2487,4080,3244,43620,30120,12540,120,0,0,1.28125,3,78,90,79,89,85,90,61,86,50
2021-03-31,75,80,86,34,97,56,94,71,24660,26880,2220,5250,18000,1410,379,92,1020,13500,2021-03-31T00:11:01.000+01:00,2021-03-31T07:39:01.000+01:00,69.73,65,16,-0.25,-0.19,16.5,60,63,100,25,40,34,227,2497,4500,3853,38700,34800,12600,300,0,0,1.28125,0,80,60,76,87,87,97,100,81,76
2021-04-01,79,96,99,19,86,52,89,84,29370,34200,4830,8280,20250,840,466,86,1110,17550,2021-03-31T22:37:59.000+01:00,2021-04-01T08:07:59.000+01:00,78.9,72,12,0.15,0.06,17.125,69,65,95,43,71,50,412,2699,9010,7185,37920,33180,12540,2760,0,0,1.375,1,69,70,82,90,89,92,45,66,35
2021-04-02,67,62,72,55,95,71,64,63,20580,22920,2340,4440,13890,2250,252,90,120,11340,2021-04-02T01:03:01.000+01:00,2021-04-02T07:25:01.000+01:00,68.51,65,19,-0.46,0.01,17.375,87,85,100,60,96,96,850,3162,18494,14762,27000,33900,13920,7560,0,4020,1.625,0,75,40,73,82,84,89,100,68,85
2021-04-03,82,89,97,32,90,70,91,98,26790,30420,3630,7110,18300,1380,383,88,1050,15300,2021-04-02T22:47:33.000+01:00,2021-04-03T07:14:33.000+01:00,74.08,70,13,-0.19,-0.05,16.625,88,96,100,60,96,99,1252,3645,25359,23581,24780,29160,22800,9660,0,0,1.875,0,73,78,74,73,68,99,70,58,93
2021-04-04,89,100,98,95,99,60,81,75,34260,36480,2220,7440,22680,4140,529,94,480,17910,2021-04-03T22:49:30.000+01:00,2021-04-04T08:57:30.000+01:00,72.45,67,21,0.01,0.01,17.375,89,87,100,78,100,99,468,2721,10042,8273,29760,39660,13800,3180,0,0,1.375,0,77,95,87,50,33,100,88,65,100
2021-04-05,80,100,99,1,97,54,94,76,34740,37680,2940,8280,26460,0,554,92,990,18930,2021-04-04T22:30:32.000+01:00,2021-04-05T08:58:32.000+01:00,74.52,67,13,0.28,0.25,16.375,92,98,100,95,100,99,759,3054,15877,14188,18840,41220,22920,3420,0,0,1.5625,0,77,72,100,87,30,81,88,54,85
2021-04-06,79,98,96,11,98,55,70,91,30390,32880,2490,6480,23460,450,451,92,210,16260,2021-04-05T22:46:30.000+01:00,2021-04-06T07:54:30.000+01:00,67.11,62,19,-0.51,0.08,15.875,88,82,100,100,100,99,504,2776,10534,8805,29100,39300,14400,3540,60,0,1.40625,0,76,70,100,81,21,87,90,59,76
2021-04-07,81,97,97,15,99,60,72,100,29550,31440,1890,7350,21570,630,413,94,300,15480,2021-04-06T22:15:32.000+01:00,2021-04-07T06:59:32.000+01:00,68.71,63,19,-0.12,-0.02,16.375,79,99,100,100,100,100,1768,4118,17291,29514,16860,35760,13980,15900,0,3900,2.09375,0,79,75,100,85,21,100,99,62,78
2021-04-08,78,86,91,41,90,52,81,100,26070,29640,3570,5550,18810,1710,414,88,480,14550,2021-04-07T22:31:59.000+01:00,2021-04-08T06:45:59.000+01:00,72.59,70,16,0.29,0.13,17.25,68,55,78,100,100,100,606,2987,13280,10050,41520,23700,16200,4980,0,0,1.5625,2,69,68,100,46,1,80,69,61,100
2021-04-09,53,39,39,70,67,42,89,65,15300,19620,4320,2460,9990,2850,271,78,1140,10110,2021-04-09T01:19:02.000+01:00,2021-04-09T06:46:02.000+01:00,69.57,65,29,0.01,0.26,16.5,71,76,95,100,100,100,816,3123,18856,14475,32700,33300,11760,8640,0,0,1.59375,1,61,5,83,71,1,100,100,79,53
2021-04-10,78,95,95,18,88,51,83,89,28530,32700,4170,6030,21720,780,428,87,1260,16590,2021-04-09T22:43:59.000+01:00,2021-04-10T07:48:59.000+01:00,71.87,68,15,0.21,0.32,16.625,70,72,95,100,100,100,326,2576,6433,5706,33600,35700,16260,840,0,0,1.34375,1,71,68,83,68,1,86,78,73,100
2021-04-11,82,97,95,49,86,61,83,79,29490,34200,4710,5970,21510,2010,439,86,540,17910,2021-04-10T22:41:59.000+01:00,2021-04-11T08:11:59.000+01:00,67.16,61,25,-0.37,0.11,16.5,73,88,100,100,100,100,761,3060,16619,14178,26400,33600,22500,3900,0,0,1.59375,0,78,78,85,91,8,92,90,85,92
2021-04-12,68,78,60,10,74,49,91,96,24150,29700,5550,3690,20070,390,363,81,1050,16230,2021-04-11T22:35:59.000+01:00,2021-04-12T06:50:59.000+01:00,72.31,64,16,0.39,0.22,17.125,70,67,100,100,100,100,417,2682,8968,7100,37560,29520,10200,3600,0,5520,1.40625,0,65,43,79,75,4,71,99,80,41
2021-04-13,82,88,87,79,97,51,72,100,26550,28980,2430,5310,18000,3240,413,92,300,14550,2021-04-12T22:52:20.000+01:00,2021-04-13T06:55:20.000+01:00,66.49,62,25,0.12,0.31,16.5,66,53,95,95,100,98,356,2641,5984,6021,42840,28920,12780,1740,120,0,1.375,1,79,78,79,84,16,95,100,87,93
2021-04-14,80,90,93,53,93,51,67,100,27090,30480,3390,5700,19170,2220,416,89,150,15600,2021-04-13T22:31:29.000+01:00,2021-04-14T06:59:29.000+01:00,68.85,63,25,0.03,0.32,17.5,70,47,100,78,100,96,156,2407,3124,2373,45420,31620,9120,240,0,0,1.25,0,78,73,80,80,28,100,100,90,78
2021-04-15,71,72,77,18,93,56,99,83,22830,25800,2970,4710,17340,780,339,88,870,13500,2021-04-14T23:48:32.000+01:00,2021-04-15T06:58:32.000+01:00,68.44,63,23,-1.16,-0.24,16.875,79,52,78,60,100,95,443,2739,7792,7308,44700,27420,11640,2040,600,0,1.4375,2,75,50,75,90,46,66,97,92,64
2021-04-16,73,79,73,47,90,47,70,100,24510,27900,3390,4500,18030,1980,469,88,210,13680,2021-04-15T23:00:54.000+01:00,2021-04-16T06:45:54.000+01:00,71.96,66,18,-0.23,-0.37,17.375,76,63,95,43,96,79,132,2342,2782,2053,38820,39300,8100,180,0,0,1.21875,1,71,55,72,69,50,97,90,90,61
2021-04-17,88,96,94,95,95,62,70,100,28860,32100,3240,5730,18930,4200,442,90,210,15390,2021-04-16T22:14:31.000+01:00,2021-04-17T07:09:31.000+01:00,71.97,66,24,0.28,-0.04,17.25,89,97,100,60,100,95,764,3049,16623,14224,21720,32280,19260,5340,0,7800,1.59375,0,86,93,76,97,65,81,90,92,96
2021-04-18,89,100,100,96,99,57,89,74,32040,34140,2100,8700,18060,5280,428,94,630,17100,2021-04-17T23:06:29.000+01:00,2021-04-18T08:35:29.000+01:00,74.33,67,23,0.05,0.25,17.625,85,71,100,60,96,95,476,2764,10171,8275,35040,30540,18360,2400,60,0,1.4375,0,77,95,84,80,59,100,65,93,45
2021-04-19,81,91,86,49,81,60,97,93,27330,32640,5310,5250,20040,2040,390,84,960,17520,2021-04-18T22:21:30.000+01:00,2021-04-19T07:25:30.000+01:00,71.65,66,21,0.27,0.36,16.875,74,55,95,43,71,95,300,2559,6765,5134,45000,30780,8220,2400,0,0,1.34375,1,82,74,85,83,60,82,99,93,66
2021-04-20,82,89,96,50,98,46,99,100,26850,28980,2130,6150,18600,2100,502,93,870,14700,2021-04-19T22:51:31.000+01:00,2021-04-20T06:54:31.000+01:00,69.89,62,23,-0.46,0.11,17,80,54,78,60,96,99,988,3256,8540,14760,42660,30600,8160,660,4320,0,1.6875,2,83,77,85,83,67,89,100,93,58
2021-04-21,81,88,81,59,90,60,86,99,26490,30300,3810,4950,19110,2430,388,87,1200,15990,2021-04-20T22:34:46.000+01:00,2021-04-21T06:59:46.000+01:00,67.58,61,20,0.2,0.12,16.875,82,52,95,60,96,99,304,2568,6707,5160,43740,31500,8700,2460,0,0,1.34375,1,76,75,85,1,55,88,93,92,97
2021-04-22,80,93,97,11,99,61,70,100,27660,29580,1920,6960,20220,480,385,94,240,14880,2021-04-21T22:47:31.000+01:00,2021-04-22T07:00:31.000+01:00,66.14,61,20,-0.23,0.07,16.75,87,59,95,78,96,99,455,2758,8343,7536,35460,14880,9420,1440,1200,24000,1.46875,1,84,73,87,85,61,97,89,91,93
2021-04-24,85,98,97,95,96,53,64,71,31050,34200,3150,6750,20130,4170,464,91,120,16860,2021-04-23T23:15:59.000+01:00,2021-04-24T08:45:59.000+01:00,69.47,61,23,-0.15,0.05,17.5,94,100,100,78,96,99,1042,3322,18031,18275,17580,38040,24780,4140,1860,0,1.75,0,84,85,94,89,71,100,100,92,30
2021-04-25,70,86,83,21,74,50,67,81,26130,32460,6330,5100,20130,900,416,80,180,18150,2021-04-24T22:33:30.000+01:00,2021-04-25T07:34:30.000+01:00,65.84,60,18,0.2,0.14,16,94,97,100,78,100,99,875,3162,19003,16654,21780,34440,25320,4800,60,0,1.65625,0,76,48,91,45,49,88,90,89,98
2021-04-26,81,85,86,34,95,72,86,98,25950,28800,2850,5280,19260,1410,283,90,570,14580,2021-04-25T23:01:22.000+01:00,2021-04-26T07:01:22.000+01:00,69.01,60,18,0.21,0.3,17.5,85,61,78,78,100,98,351,2583,7365,6325,38940,33180,12060,2220,0,0,1.34375,2,73,75,89,72,34,87,91,87,18
2021-04-27,78,85,68,35,86,65,99,100,25800,30120,4320,4200,20100,1500,320,86,870,14700,2021-04-26T22:15:53.000+01:00,2021-04-27T06:37:53.000+01:00,62.8,58,21,-0.04,0.28,16.125,84,53,100,78,100,98,505,2774,8849,8464,43980,26820,12180,2400,1020,0,1.46875,0,80,68,86,86,39,100,82,87,100
2021-04-28,76,72,96,67,99,64,70,79,22860,24420,1560,6450,13680,2730,294,94,240,12150,2021-04-28T00:19:30.000+01:00,2021-04-28T07:06:30.000+01:00,64.7,59,29,0.38,0.36,16.625,81,57,95,78,100,96,227,2481,4541,3704,42060,29700,14520,120,0,0,1.3125,1,74,63,79,61,42,72,87,91,77
2021-04-29,83,87,78,88,98,60,72,100,26310,28440,2130,4770,17970,3570,309,93,270,14220,2021-04-28T23:00:35.000+01:00,2021-04-29T06:54:35.000+01:00,63.61,59,25,-0.77,0.02,16.125,91,79,100,78,100,97,726,3010,15116,13101,31680,27720,15960,5340,540,5160,1.59375,0,78,80,78,91,52,79,83,93,54
2021-04-30,76,80,95,29,88,60,94,88,24630,28440,3810,5970,17430,1230,402,87,1020,15000,2021-04-29T23:14:29.000+01:00,2021-04-30T07:08:29.000+01:00,70.5,64,19,0.15,0.01,16.75,87,53,100,78,100,96,208,2448,4121,3473,43380,30900,11820,300,0,0,1.28125,0,73,63,75,68,47,92,98,91,50
2021-05-01,84,96,97,50,96,66,70,90,29370,32400,3030,7050,20220,2100,320,91,240,16140,2021-04-30T22:51:04.000+01:00,2021-05-01T07:51:04.000+01:00,67.84,62,18,-0.25,-0.01,17.25,94,100,100,78,100,98,1100,3406,22966,20181,17640,35700,25860,6240,960,0,1.78125,0,84,83,80,90,58,96,97,89,88
2021-05-02,84,95,97,43,95,55,86,100,28470,31740,3270,7140,19530,1800,421,90,600,15660,2021-05-01T22:06:16.000+01:00,2021-05-02T06:55:16.000+01:00,75.04,71,13,0.5,0.31,17.5,93,94,100,78,96,97,359,2556,7299,6355,23580,42900,19380,540,0,0,1.3125,0,68,83,83,53,39,62,47,79,100
2021-05-03,81,99,97,8,96,68,86,75,31230,34500,3270,6930,23970,330,394,91,600,17730,2021-05-02T22:52:32.000+01:00,2021-05-03T08:27:32.000+01:00,68.31,63,19,0.15,0.4,17.125,89,74,100,78,96,96,330,2508,7536,6003,33540,39960,10440,2460,0,0,1.3125,0,85,75,90,100,45,92,100,78,100
2021-05-04,80,87,96,35,96,67,67,100,26250,28920,2670,6210,18540,1500,372,91,150,14820,2021-05-03T22:40:29.000+01:00,2021-05-04T06:42:29.000+01:00,66.34,60,23,0.09,0.39,17,70,55,43,60,71,95,177,2417,3676,3105,42780,26580,10080,300,0,6660,1.28125,4,80,73,89,92,51,97,93,82,65
2021-05-05,75,77,74,40,81,69,94,89,23910,28680,4770,4530,17730,1650,282,83,990,14670,2021-05-04T23:16:31.000+01:00,2021-05-05T07:14:31.000+01:00,68,63,17,0.01,0.26,16.375,86,67,78,78,96,96,578,2870,11454,9993,37080,30840,14340,3780,360,0,1.5,2,80,60,84,91,62,100,100,76,84
2021-05-06,68,51,51,92,86,58,83,100,18060,21060,3000,3150,11160,3750,242,86,510,10710,2021-05-05T23:43:01.000+01:00,2021-05-06T05:34:01.000+01:00,67.38,64,22,-0.29,0.09,17.125,74,34,78,60,71,94,275,2611,5712,4423,52800,18780,13860,960,0,0,1.40625,2,70,43,70,72,58,95,100,81,55
2021-05-07,72,66,67,94,100,61,67,70,21330,22500,1170,4140,13380,3810,286,95,150,11160,2021-05-07T00:52:00.000+01:00,2021-05-07T07:07:00.000+01:00,65.23,60,30,0.08,0.1,17.25,83,60,60,78,96,95,422,2681,9317,7516,40500,31440,11100,3360,0,0,1.40625,3,69,53,62,80,67,98,94,89,35
2021-05-08,82,97,93,18,95,68,78,95,29670,32940,3270,5670,23220,780,394,90,420,16350,2021-05-07T22:36:54.000+01:00,2021-05-08T07:45:54.000+01:00,74.28,68,15,0.23,0.25,17.75,90,75,100,78,96,95,482,2739,9650,8663,32760,34320,16200,3120,0,0,1.4375,0,75,78,68,82,68,85,61,85,91
2021-05-09,83,98,100,35,90,65,89,73,30780,34860,4080,10170,19140,1470,394,88,660,17670,2021-05-08T22:58:40.000+01:00,2021-05-09T08:39:40.000+01:00,74.09,67,11,0.21,0.39,16.5,93,97,100,78,100,96,813,3111,16739,14992,20760,34740,26580,4200,120,0,1.625,0,77,80,76,85,69,87,70,67,100
2021-05-10,74,79,78,46,86,43,97,93,24480,28620,4140,4800,17790,1890,494,86,930,15180,2021-05-09T22:59:32.000+01:00,2021-05-10T06:56:32.000+01:00,68.01,61,30,-0.43,0.15,17.5,83,54,95,78,100,95,132,2354,2683,2197,43440,29700,7800,180,0,5280,1.25,1,74,58,74,77,58,90,100,82,64
2021-05-11,87,95,62,91,96,63,94,100,28140,30960,2820,3810,20610,3720,382,91,990,15690,2021-05-10T22:14:00.000+01:00,2021-05-11T06:50:00.000+01:00,71.05,66,24,0.21,0.15,18.375,92,60,95,95,100,97,642,2895,9771,10451,39600,31380,11520,2640,1260,0,1.53125,1,84,90,79,94,67,87,86,86,85
2021-05-12,71,77,79,10,72,54,94,100,24120,30300,6180,4830,18870,420,336,80,1020,16560,2021-05-11T22:08:02.000+01:00,2021-05-12T06:33:02.000+01:00,69.01,63,14,-0.29,0.07,16.375,87,54,100,78,100,96,244,2511,5036,3852,44460,26160,15300,480,0,0,1.34375,0,72,50,76,56,62,95,100,75,78
2021-05-13,87,94,76,95,93,63,81,100,27960,31320,3360,4680,19380,3900,417,89,450,15600,2021-05-12T22:16:03.000+01:00,2021-05-13T06:58:03.000+01:00,73.79,69,17,0.42,0.28,17.25,84,50,78,78,100,93,177,2396,3311,3088,45360,31320,9480,240,0,0,1.25,2,72,90,80,89,70,69,52,72,88
2021-05-14,86,90,95,96,96,53,81,100,27030,29760,2730,6000,15630,5400,398,91,450,14610,2021-05-13T22:39:09.000+01:00,2021-05-14T06:55:09.000+01:00,75.57,71,24,0.6,0.55,17.875,75,45,78,60,96,71,196,2458,3843,3240,47340,26940,11880,180,60,0,1.3125,2,67,87,81,90,77,54,45,81,85
2021-05-15,77,89,97,37,90,50,67,90,26760,30420,3660,6750,18480,1530,409,88,150,14880,2021-05-14T23:10:31.000+01:00,2021-05-15T07:37:31.000+01:00,72.99,67,17,0.42,0.7,17,84,70,100,60,96,94,544,2797,12720,9967,35820,29280,12240,5340,0,3720,1.46875,0,73,65,81,87,83,70,71,77,79
2021-05-16,83,88,95,97,79,52,91,80,26610,32280,5670,5970,14310,6330,392,82,690,16560,2021-05-15T23:02:00.000+01:00,2021-05-16T08:00:00.000+01:00,73.59,68,26,None,0.51,17.75,86,80,95,60,96,97,933,3248,17824,16190,29820,29280,21720,4200,1380,0,1.71875,1,82,80,81,80,79,100,72,86,100
2021-05-17,64,60,72,38,79,55,81,73,20010,24120,4110,4410,13980,1620,285,83,480,12780,2021-05-17T00:19:59.000+01:00,2021-05-17T07:01:59.000+01:00,71.84,65,20,0.06,0.33,17,82,61,95,60,96,96,244,2481,5004,4203,39720,29280,11760,1080,0,4560,1.3125,1,64,33,71,47,64,99,89,85,42
2021-05-18,75,91,71,1,93,60,81,99,27330,30660,3330,4380,22890,60,362,89,480,15270,2021-05-17T22:46:00.000+01:00,2021-05-18T07:17:00.000+01:00,74.92,70,14,-0.01,0.25,17.125,82,56,95,60,96,98,558,2804,8889,9083,41760,30720,10320,2220,1380,0,1.46875,1,70,60,74,92,69,100,47,75,85
2021-05-19,66,58,81,38,74,55,78,100,19620,24300,4680,4980,13020,1620,295,81,420,12870,2021-05-18T23:10:58.000+01:00,2021-05-19T05:55:58.000+01:00,71.42,65,18,-0.94,-0.13,16.75,86,50,95,78,96,98,403,2682,8960,7137,42660,27360,13740,2640,0,0,1.4375,1,65,38,64,57,66,74,98,75,48
2021-05-20,82,91,95,52,93,61,78,87,27300,30600,3300,5940,19230,2130,381,89,1380,15930,2021-05-19T22:59:23.000+01:00,2021-05-20T07:29:23.000+01:00,72.25,68,17,-0.08,-0.18,17.25,84,54,78,78,96,97,354,2606,7910,6220,43080,28320,13260,1560,180,0,1.375,2,73,78,67,82,67,100,73,71,85
2021-05-21,65,65,55,7,100,75,81,64,21210,22200,990,3390,17520,300,296,96,480,11070,2021-05-21T01:06:59.000+01:00,2021-05-21T07:16:59.000+01:00,71.26,67,17,-0.63,-0.25,17.25,83,60,95,78,96,95,195,2421,4068,3251,39600,33840,12720,240,0,0,1.28125,1,62,35,60,81,69,84,73,68,56
2021-05-22,65,73,74,13,76,50,62,100,23040,27960,4920,4560,17940,540,351,82,1710,14700,2021-05-21T22:36:54.000+01:00,2021-05-22T06:22:54.000+01:00,67.97,61,20,0.17,None,16.25,90,77,100,78,96,97,752,3005,11823,12391,33360,32340,16860,1920,1920,0,1.5625,0,68,35,57,95,77,91,97,72,62
2021-05-23,80,99,97,32,90,46,94,68,31560,36000,4440,7260,22950,1350,624,88,1020,18060,2021-05-22T23:02:01.000+01:00,2021-05-23T09:02:01.000+01:00,65.65,61,24,-0.06,0.12,16.375,94,100,100,78,96,98,800,3048,17557,14920,13860,36300,18960,5700,60,11520,1.59375,0,76,73,68,47,69,100,98,80,100
